公園_公園名,公園_住所,公園_施設,公園_緯度,公園_経度,地区_住所,地区_区分,地区_グループ,地区_ブロック,地区_コード
東松江緑地,和歌山県和歌山市松江字29町場2000,"河西緩衝緑地の一番東側にある公園です。
キャッチボールしたり寝転がって楽しめる広い芝生広場や、ターザンロープ、海賊船、複合遊具など、幼児から遊べる遊具が...",34.2385864,135.1284047,和歌山県和歌山市松江,貴志地区,第2ブロック,北部地域,3
弘西公園,和歌山県和歌山市弘西920番地2,和歌山市の住宅街や田園地帯の中にある公園です。公園の奥側には多目的に利用できる広いグラウンドもあり、スポーツなどを楽しむこともできます。公園に入るとすぐの...,34.2650409,135.2425886,和歌山県和歌山市弘西,紀伊地区,第3ブロック,北東部地域,4
湊公園（和歌山市）,和歌山県和歌山市湊3-2-17,和歌山市の「湊小学校」の近くにある住宅街の公園です。桜の木があったり、藤棚があったりと季節の自然にも触れられます。公園の中央には芝生が広がり、多目的に遊ぶ...,34.2331409,135.1475973,和歌山県和歌山市湊,雄湊地区,第9ブロック,中心部地域,1
本町公園プレーパーク,和歌山県和歌山市北桶屋町7 本町公園内 木製遊具付近,"和歌山市中心部にあり、周辺には商店街があります。
大きな木がたくさんあり、秋にはドングリを見つけることもできますよ。
ブランコや滑り台といった遊具のほ...",34.2360153,135.175742,和歌山県和歌山市北桶屋町,本町地区,第9ブロック,中心部地域,1
中之島公園（和歌山市）,和歌山県和歌山市中之島1495,"四季折々の楽しみ方が出来る和歌山市の公園です。
春には桜が美しくお花見スポットとして人気があります。夏には幼児プールが期間限定でオープンし、夏祭りも開か...",34.23885,135.1869256,和歌山県和歌山市中之島,中之島地区,第9ブロック,中心部地域,1
牛町公園,和歌山県和歌山市南牛町17,和歌山市の紀の川の河口近くにある公園です。タコの大きな遊具が印象的な公園で、リアルなタコに子どもたちも大興奮！他にも、すべり台、砂場、ブランコなどがあり、...,34.2262078,135.161421,和歌山県和歌山市南牛町,雄湊地区,第9ブロック,中心部地域,1
和歌山東公園,和歌山県和歌山市北出島133,"和歌山東公園は、充実のスポーツ施設を有する都市公園です。市民球場や体育館など、スポーツを楽しむ多くの人々が訪れます。
また、スポーツ施設だけでなく、市民...",34.2194075,135.1977426,和歌山県和歌山市北出島,宮地区,第6ブロック,中心部地域,1
河西公園水泳場,和歌山県和歌山市本脇80-6,河西公園の中にあるプールです。25mプールの他、水深の浅い幼児用のプールもあるので、小さい子どもと一緒でも安心して遊べますよ。幼児プールにはかわいいクジラ...,34.258501,135.1037721,和歌山県和歌山市本脇,西脇地区,第1ブロック,北西部地域,2
四季の郷公園,和歌山県和歌山市明王寺85,和歌山市にある「四季の郷公園」は25.5ヘクタールの広大な敷地内に、野鳥や昆虫、植物と触れ合える「自然観察の森エリア」と、四季を通じて自然と農業を親しむ場...,34.2155654,135.2599885,和歌山県和歌山市明王寺,東山東地区,第5ブロック,南東部地域,6
和歌山交通公園,和歌山県和歌山市西18-1,和歌山電鉄貴志川線「交通センター前」の駅の降りてすぐ側に「和歌山交通公園」はあります。四季折々の花に彩られた交通公園で、遊びながら交通ルールを学べる施設で...,34.2036684,135.2180209,和歌山県和歌山市西,岡崎地区,第5ブロック,南東部地域,6
番所庭園,和歌山県和歌山市雑賀崎番所ノ鼻,雑賀崎西端にある和歌浦湾に突き出た岬の庭園です。江戸時代に紀州藩の見張り番所が置かれた場所であったことから、「番所の鼻」とも呼ばれています。岬にあるため、...,34.1906797,135.1406799,和歌山県和歌山市雑賀崎,雑賀崎地区,第7ブロック,南部地域,7
次郎丸公園,和歌山県和歌山市次郎丸,次郎丸公園は、和歌山県和歌山市の次郎丸地区にある小さな公園です。公園の真ん中に、ブランコ、滑り台、ロープの登り網などがついている木製の遊具があり、お子さん...,34.2558299,135.1500353,和歌山県和歌山市次郎丸,貴志地区,第2ブロック,北部地域,3
高津公園（和歌山市）,和歌山県和歌山市関戸3-775-1,和歌山市の「雑賀小学校」「星林高校」に囲まれた場所に整備されている公園です。広いグラウンドもあり、自由に走り回ったりボール遊びもでき、大変開放的な公園です...,34.1983262,135.1649844,和歌山県和歌山市関戸1,雑賀地区,第7ブロック,南部地域,7
紀三井寺公園 ,和歌山県和歌山市毛見200番地,"「紀三井寺公園」は面積約172,300平方メートル内に、陸上競技場、野球場、テニス場、球技場・補助競技場」、登はん場、児童公園が設置された広大な公園です。...",34.1679069,135.1916166,和歌山県和歌山市毛見,名草地区,第7ブロック,南部地域,7
太田第1公園,和歌山県和歌山市太田550-3,和歌山市の住宅街の中にある公園です。遊具や夏にオープンする幼児プールのあるゾーンと芝生のゾーンに分かれています。春には桜の木も植えられているのでお花見もで...,34.22933450000001,135.197424,和歌山県和歌山市太田,宮地区,第6ブロック,中心部地域,1
美園公園,和歌山県和歌山市美園町2丁目95,飛行機の遊具や機関車の遊具、複合遊具は船をモチーフにしたものになっているなど、乗り物の遊具がたくさん！乗り物好きの子どもならぜひ立ち寄ってもらいたい公園。...,34.229906,135.1860112,和歌山県和歌山市美園町2,大新地区,第10ブロック,中心部地域,1
善明寺公園,和歌山県和歌山市善明寺362-2,"和歌山市の「上淡路街道」から少し入った場所にある地域の公園です。住宅街の中で落ち着いた環境にあります。

遊具はブランコやすべり台、砂場、シーソーなど...",34.2608989,135.1852699,和歌山県和歌山市善明寺,楠見地区,第2ブロック,北部地域,3
園部公園（和歌山市）,和歌山県和歌山市園部212-1,ぐるぐるカーブのすべり台「スパイラルスライダー」や、ボルダリング風の設備が付いた、大きな複合遊具であそべます。お砂場もあり、座って遊ぶのが好きな子にもオス...,34.2655294,135.1947443,和歌山県和歌山市園部,有功地区,第3ブロック,北東部地域,4
砂山公園 ,和歌山県和歌山市出口中ノ丁7,和歌山市の砂山公園は、1年を通じて様々な楽しみ方ができる公園です。春には桜が大変きれいでお花見を楽しむ親子の姿も見られます。夏には、無料の子供プールがオー...,34.2215422,135.1633588,和歌山県和歌山市出口中ノ丁,砂山地区,第8ブロック,中心部地域,1
湊緑地,和歌山県和歌山市湊5-4,和歌山市湊にある「河西緩衝緑地 湊緑地」。5つのエリアから構成される河西緩衝緑地の一つであり、紀の川に隣接しています。敷地は細長く、端からすべり台などの遊...,34.2291501,135.143165,和歌山県和歌山市湊,雄湊地区,第9ブロック,中心部地域,1
西庄ふれあいの郷,和歌山県和歌山市西庄1107番地36,"「西庄ふれあいの郷」は和歌山市にある自然ハーブ園とゲートゴルフ場が一体になった施設です。
ハーブ園には全部で約70種類ものハーブが栽培されていて、季節ご...",34.2667815,135.115959,和歌山県和歌山市西庄,木本地区,第1ブロック,北西部地域,2
天王緑地,和歌山県和歌山市中之島503-8,紀伊中ノ島駅から徒歩5分の場所にある公園です。大きな船をモチーフにした複合遊具が設置され、カラフルな色合いと様々な仕掛けにワクワクします。床も複合遊具の周...,34.2423641,135.187476,和歌山県和歌山市中之島,中之島地区,第9ブロック,中心部地域,1
西和佐公園,和歌山県和歌山市西和佐,"和歌山市和佐の住宅街の中にある西和佐公園は、カラフルな遊具と芝生の緑がきれいな、新しい公園です。
 広い敷地内には子供達が喜ぶ遊具がたくさんあり、のんび...",34.232695,135.2271766,和歌山県和歌山市栗栖,西和佐地区,第4ブロック,東部地域,5
加太北の浜公園,和歌山県和歌山市加太,"和歌山市加太、加太海水浴場のすぐ隣にある「加太北の浜公園」は海を眺めながらのんびりくつろげる公園です。
公園内にはクジラ型の複合遊具やブランコなどの遊具...",34.2714293,135.0793351,和歌山県和歌山市加太,加太地区,第1ブロック,北西部地域,2
鳴神公園,和歌山県和歌山市鳴神951,和歌山市鳴神の住宅街にある公園。コンビネーション遊具やジャングルジム、スプリング遊具などの設置と大きな広場があり、幅広い層の人々が利用しています。夏期には...,34.2291428,135.2114745,和歌山県和歌山市鳴神,宮地区,第6ブロック,中心部地域,1
人と自然のふれあい公園　森林公園,和歌山県和歌山市深山600-1,和歌山市の「人と自然のふれあい公園　森林公園」は、その名前の通り豊かな自然がそのまま残されている公園です。春にはさくら、秋には紅葉も楽しめ、四季折々の自然...,34.2835409,135.0949695,和歌山県和歌山市深山,加太地区,第1ブロック,北西部地域,2
宮北公園,和歌山県和歌山市和歌山市黒田,"和歌山市の宮北公園は、夏期限定で無料の幼児用プールが開放される公園です。プールにはクジラの幼児用すべり台もついていて、子供たちは大興奮！
公園の中心には...",34.2371582,135.1950827,和歌山県和歌山市黒田,宮北地区,第6ブロック,中心部地域,1
秋葉山公園（和歌山市）,和歌山県和歌山市秋葉町14,和歌山市の秋葉山を整備した公園。頂上まで登っていくので、ちょっとしたハイキング気分も味わえます。途中には、山の斜面を利用したロングすべり台などもあり、子ど...,34.1996258,135.1721734,和歌山県和歌山市秋葉町,高松地区,第8ブロック,中心部地域,1
岡崎中央児童遊園,和歌山県和歌山市井辺144,"和歌山市の住宅街の中にある公園です。夏限定で利用できる幼児用プールを備えた公園で、地域の親子連れの人気スポット。

また公園内の遊具も充実していて、大...",34.21780950000001,135.2115552,和歌山県和歌山市井辺,岡崎地区,第5ブロック,南東部地域,6
向団地公園プレーパーク,和歌山県和歌山市向191 向団地公園,"和歌山市北部にある市営団地付属の公園で、周辺は主に住宅や水田です。
公園では大きな木や、砂場、ブランコ、鉄製遊具等のほか、臨時設営したロープウェイや、綱...",34.2565353,135.1429782,和歌山県和歌山市向,貴志地区,第2ブロック,北部地域,3
松島公園,和歌山県和歌山市松島260,和歌山線の線路沿いにある公園です。公園内からは電車が見え、電車好きの子供には大人気の公園です。公園内には、大型の複合遊具もあり、長い時間遊んでいても飽きま...,34.2415607,135.2100843,和歌山県和歌山市松島,四箇郷地区,第4ブロック,東部地域,5
岡東公園,和歌山県和歌山市広瀬中ノ丁1丁目16番地,和歌山市の「広瀬小学校」の隣に整備されています。大きなコンクリート製の遊具が印象的で、高さがあるので、小さな子供は少し注意が必要ですが、小学生くらいの子供...,34.2252305,135.1819149,和歌山県和歌山市広瀬中ノ丁1,広瀬地区,第10ブロック,中心部地域,1
新南公園,和歌山県和歌山市木広町3-11,和歌山市の「新南小学校」のそばにある公園です。この公園の一番の見どころはなんと言っても、大きな鬼の遊具。小さな子どもはビックリしてしまうかもしれませんが、...,34.2265565,135.1883795,和歌山県和歌山市木広町2,新南地区,第10ブロック,中心部地域,1
紀ノ川第３緑地（せせらぎ広場）,和歌山県和歌山市有本地先,この公園は、「せせらぎ運動公園」「せせらぎ西1広場」「せせらぎ西2広場」の3つのエリアからなる多目的グラウンドです。「せせらぎ」というのは、紀ノ川の河川敷...,34.2303678,135.1707405,和歌山県和歌山市有本,四箇郷地区,第4ブロック,東部地域,5
黒田第2公園,和歌山県和歌山市黒田112,"和歌山駅からも徒歩10分の距離にある公園です。比較的新しく整備された公園で、芝生の上に白い石が美しく並べられ、大変スタイリッシュなデザインの公園です。
...",34.23542279999999,135.1922182,和歌山県和歌山市黒田,宮北地区,第6ブロック,中心部地域,1
さんさん公園（和歌山市）,和歌山県和歌山市直川328-6,"和歌山市の北コミュニティセンター、さんさんセンター紀の川に隣接する公園です。駐車場もあり、小さな子連れには大変便利です。

遊具は、複合遊具やスプリン...",34.2592063,135.2192699,和歌山県和歌山市直川,有功地区,第3ブロック,北東部地域,4
本町公園（和歌山市）,和歌山県和歌山市北桶屋町7番地,和歌山市の市街地、「本町郵便局」や「本町幼稚園」のすぐそばに整備されている公園です。比較的大きな公園で、春には桜の名所として多くの人々がお花見を楽しむ姿が...,34.2364985,135.1751222,和歌山県和歌山市北桶屋町,本町地区,第9ブロック,中心部地域,1
松江緑地,和歌山県和歌山市松江,和歌山市の「河西緩衝緑地」を構成する5つの緑地の中の1つです。多目的運動広場、テニスコートなどのスポーツ施設もあり、噴水や広場など憩いの場所もあり、子供た...,34.2385864,135.1284047,和歌山県和歌山市松江,貴志地区,第2ブロック,北部地域,3
長町公園（和歌山市）,和歌山県和歌山市東長町9丁目8番地,"日赤の「和歌山医療センター」のすぐそばにある公園です。広々としたグラウンドが公園の中心に広がり、見通しも良く、公園の外からも中の様子が見渡せます。

...",34.2420174,135.1752453,和歌山県和歌山市東長町1,雄湊地区,第9ブロック,中心部地域,1
