保育園_分類,保育園_園名,保育園_住所,保育園_URL,保育園_緯度,保育園_経度,地区_住所,地区_区分,地区_グループ,地区_ブロック,地区_コード
市区町村,栄谷保育所,和歌山県和歌山市栄谷428－3,https://www.gaccom.jp/nurseryschool-18665.html,34.2585603,135.1614225,和歌山県和歌山市栄谷,貴志地区,第2ブロック,北部地域,3
市区町村,本町こども園,和歌山県和歌山市北桶屋町7,https://www.gaccom.jp/nurseryschool-18670.html,34.2359552,135.1756113,和歌山県和歌山市北桶屋町,本町地区,第9ブロック,中心部地域,1
市区町村,西和佐保育所,和歌山県和歌山市岩橋1317－4,https://www.gaccom.jp/nurseryschool-18671.html,34.2326668,135.2271778,和歌山県和歌山市岩橋,西和佐地区,第4ブロック,東部地域,5
市区町村,名草保育所,和歌山県和歌山市紀三井寺287,https://www.gaccom.jp/nurseryschool-18672.html,34.1785293,135.190097,和歌山県和歌山市紀三井寺,名草地区,第7ブロック,南部地域,7
市区町村,宮北保育所,和歌山県和歌山市黒田354－1,https://www.gaccom.jp/nurseryschool-18676.html,34.2389183,135.1954668,和歌山県和歌山市黒田,宮北地区,第6ブロック,中心部地域,1
市区町村,砂山保育所,和歌山県和歌山市砂山南2－1－4,https://www.gaccom.jp/nurseryschool-18678.html,34.2185216,135.1636652,和歌山県和歌山市砂山南1,砂山地区,第8ブロック,中心部地域,1
市区町村,小倉保育所,和歌山県和歌山市新庄56,https://www.gaccom.jp/nurseryschool-18688.html,34.2303678,135.1707405,和歌山県和歌山市新庄,小倉地区,第4ブロック,東部地域,5
市区町村,西脇保育所,和歌山県和歌山市西庄1016,https://www.gaccom.jp/nurseryschool-18692.html,34.257257,135.1054195,和歌山県和歌山市西庄,木本地区,第1ブロック,北西部地域,2
市区町村,宮保育所,和歌山県和歌山市太田4丁目5番－20,https://www.gaccom.jp/nurseryschool-18697.html,34.2291934,135.1984352,和歌山県和歌山市太田,宮地区,第6ブロック,中心部地域,1
市区町村,杭ノ瀬保育所,和歌山県和歌山市杭ノ瀬19－8,https://www.gaccom.jp/nurseryschool-18706.html,34.2134103,135.1979728,和歌山県和歌山市杭ノ瀬,宮前地区,第6ブロック,中心部地域,1
市区町村,芦原こども園,和歌山県和歌山市雄松町5－4－1,https://www.gaccom.jp/nurseryschool-18709.html,34.219577,135.1810281,和歌山県和歌山市雄松町1,広瀬地区,第10ブロック,中心部地域,1
市区町村,楠見保育所,和歌山県和歌山市楠見中105,https://www.gaccom.jp/nurseryschool-18710.html,34.2564663,135.173602,和歌山県和歌山市楠見中,楠見地区,第2ブロック,北部地域,3
市区町村,川永保育所,和歌山県和歌山市楠本284－1,https://www.gaccom.jp/nurseryschool-18711.html,34.2566433,135.2566367,和歌山県和歌山市楠本,川永地区,第3ブロック,北東部地域,4
市区町村,宮前保育所,和歌山県和歌山市北中島1－2－6,https://www.gaccom.jp/nurseryschool-18716.html,34.2144921,135.1886858,和歌山県和歌山市北中島1,宮前地区,第6ブロック,中心部地域,1
市区町村,安原保育所,和歌山県和歌山市本渡396－4,https://www.gaccom.jp/nurseryschool-18717.html,34.1782823,135.2152714,和歌山県和歌山市本渡,安原地区,第5ブロック,南東部地域,6
市区町村,鳴神保育所,和歌山県和歌山市鳴神695,https://www.gaccom.jp/nurseryschool-18718.html,34.2338453,135.2112123,和歌山県和歌山市鳴神,宮地区,第6ブロック,中心部地域,1
社会福祉法人,まことこども園（保）,和歌山県和歌山市つつじが丘4丁目3－2,https://www.gaccom.jp/nurseryschool-18661.html,34.2687397,135.1009809,和歌山県和歌山市つつじが丘1,西脇地区,第1ブロック,北西部地域,2
社会福祉法人,あわ保育園,和歌山県和歌山市粟255－5,https://www.gaccom.jp/nurseryschool-18662.html,34.2529598,135.1742725,和歌山県和歌山市粟,楠見地区,第2ブロック,北部地域,3
社会福祉法人,岡崎保育園,和歌山県和歌山市井辺134－2,https://www.gaccom.jp/nurseryschool-18663.html,34.21733390000001,135.2112741,和歌山県和歌山市井辺,岡崎地区,第5ブロック,南東部地域,6
社会福祉法人,とうようこども園（保）,和歌山県和歌山市宇田森67,https://www.gaccom.jp/nurseryschool-18664.html,34.260949,135.2466192,和歌山県和歌山市宇田森,紀伊地区,第3ブロック,北東部地域,4
社会福祉法人,有功保育園,和歌山県和歌山市園部1－1,https://www.gaccom.jp/nurseryschool-18667.html,34.2695635,135.1912434,和歌山県和歌山市園部,有功地区,第3ブロック,北東部地域,4
社会福祉法人,まことなるたきこども園（保）,和歌山県和歌山市園部381－28,https://www.gaccom.jp/nurseryschool-18668.html,34.2687935,135.1889714,和歌山県和歌山市園部,有功地区,第3ブロック,北東部地域,4
社会福祉法人,こうま保育園,和歌山県和歌山市下三毛566,https://www.gaccom.jp/nurseryschool-18669.html,34.2411827,135.2989759,和歌山県和歌山市下三毛,小倉地区,第4ブロック,東部地域,5
社会福祉法人,しょうぶこども園（保）,和歌山県和歌山市吉礼53番地の6,https://www.gaccom.jp/nurseryschool-18673.html,34.2022843,135.235596,和歌山県和歌山市吉礼,西山東地区,第5ブロック,南東部地域,6
社会福祉法人,さかえ保育園,和歌山県和歌山市狐島394,https://www.gaccom.jp/nurseryschool-18675.html,34.2454174,135.1528314,和歌山県和歌山市狐島,野崎地区,第2ブロック,北部地域,3
社会福祉法人,むつみこども園（保）,和歌山県和歌山市砂山南3丁目2番21号,https://www.gaccom.jp/nurseryschool-18679.html,34.2157081,135.1607862,和歌山県和歌山市砂山南1,砂山地区,第8ブロック,中心部地域,1
社会福祉法人,さんた保育園,和歌山県和歌山市坂田18,https://www.gaccom.jp/nurseryschool-18683.html,34.2056772,135.2011192,和歌山県和歌山市坂田,三田地区,第5ブロック,南東部地域,6
社会福祉法人,じろうまるこども園（保）,和歌山県和歌山市次郎丸107－1,https://www.gaccom.jp/nurseryschool-18684.html,34.2546956,135.14736,和歌山県和歌山市次郎丸,貴志地区,第2ブロック,北部地域,3
社会福祉法人,しろがね保育園,和歌山県和歌山市秋月67－3,https://www.gaccom.jp/nurseryschool-18685.html,34.2332267,135.2019871,和歌山県和歌山市秋月,宮地区,第6ブロック,中心部地域,1
社会福祉法人,城北保育所,和歌山県和歌山市小人町29,https://www.gaccom.jp/nurseryschool-18686.html,34.2308958,135.1675235,和歌山県和歌山市小人町,雄湊地区,第9ブロック,中心部地域,1
社会福祉法人,紀之川保育園,和歌山県和歌山市松島121－1,https://www.gaccom.jp/nurseryschool-18687.html,34.2481229,135.2119413,和歌山県和歌山市松島,四箇郷地区,第4ブロック,東部地域,5
社会福祉法人,新堀こども園（保）,和歌山県和歌山市新堀東2－1－25,https://www.gaccom.jp/nurseryschool-18690.html,34.2143215,135.1757713,和歌山県和歌山市新堀東1,高松地区,第8ブロック,中心部地域,1
社会福祉法人,ようすい子ども園（保）,和歌山県和歌山市西浜1218－3,https://www.gaccom.jp/nurseryschool-18693.html,34.1951881,135.1546587,和歌山県和歌山市西浜,雑賀地区,第7ブロック,南部地域,7
社会福祉法人,かぜのこ保育園,和歌山県和歌山市大谷831－25,https://www.gaccom.jp/nurseryschool-18695.html,34.2617418,135.177539,和歌山県和歌山市大谷,楠見地区,第2ブロック,北部地域,3
社会福祉法人,のぞみ保育園,和歌山県和歌山市善明寺471,https://www.gaccom.jp/nurseryschool-18696.html,34.2654861,135.1838529,和歌山県和歌山市善明寺,楠見地区,第2ブロック,北部地域,3
社会福祉法人,山口こども園（保）,和歌山県和歌山市谷2,https://www.gaccom.jp/nurseryschool-18698.html,34.269993,135.2661457,和歌山県和歌山市谷,山口地区,第3ブロック,北東部地域,4
社会福祉法人,さつきこども園（保）,和歌山県和歌山市中島70－8,https://www.gaccom.jp/nurseryschool-18699.html,34.2123531,135.1887592,和歌山県和歌山市中島,宮前地区,第6ブロック,中心部地域,1
社会福祉法人,きわ保育園,和歌山県和歌山市中之島969－10,https://www.gaccom.jp/nurseryschool-18701.html,34.2447102,135.1861886,和歌山県和歌山市中之島,中之島地区,第9ブロック,中心部地域,1
社会福祉法人,太陽保育園,和歌山県和歌山市土入284－12,https://www.gaccom.jp/nurseryschool-18707.html,34.2510281,135.1380853,和歌山県和歌山市土入,貴志地区,第2ブロック,北部地域,3
社会福祉法人,ほしや子ども園（保）,和歌山県和歌山市布施屋3－1,https://www.gaccom.jp/nurseryschool-18712.html,34.2422108,135.2596907,和歌山県和歌山市布施屋,和佐地区,第4ブロック,東部地域,5
社会福祉法人,紀伊保育園,和歌山県和歌山市直川326－9,https://www.gaccom.jp/nurseryschool-18713.html,34.2599055,135.2195585,和歌山県和歌山市直川,有功地区,第3ブロック,北東部地域,4
社会福祉法人,かんどりこども園（保）,和歌山県和歌山市平井466－1,https://www.gaccom.jp/nurseryschool-18714.html,34.2628422,135.1654231,和歌山県和歌山市平井,楠見地区,第2ブロック,北部地域,3
社会福祉法人,広瀬幼保園（保）,和歌山県和歌山市片岡町1－2,https://www.gaccom.jp/nurseryschool-18715.html,34.2242831,135.1747474,和歌山県和歌山市片岡町1,広瀬地区,第10ブロック,中心部地域,1
社会福祉法人,みちる保育園,和歌山県和歌山市毛見435,https://www.gaccom.jp/nurseryschool-18719.html,34.1687905,135.2011762,和歌山県和歌山市毛見,名草地区,第7ブロック,南部地域,7
社会福祉法人,こひつじこども園（保）,和歌山県和歌山市木ノ本1230番2,https://www.gaccom.jp/nurseryschool-18720.html,34.26467,135.1225314,和歌山県和歌山市木ノ本,木本地区,第1ブロック,北西部地域,2
社会福祉法人,すみれこども園（保）,和歌山県和歌山市木ノ本321－2,https://www.gaccom.jp/nurseryschool-18721.html,34.2578265,135.128149,和歌山県和歌山市木ノ本,木本地区,第1ブロック,北西部地域,2
社会福祉法人,のざき保育園,和歌山県和歌山市野崎115,https://www.gaccom.jp/nurseryschool-18722.html,34.2437292,135.1570162,和歌山県和歌山市野崎,野崎地区,第2ブロック,北部地域,3
社会福祉法人,ふたば保育園,和歌山県和歌山市友田町3－30,https://www.gaccom.jp/nurseryschool-18723.html,34.2334246,135.1864058,和歌山県和歌山市友田町2,大新地区,第10ブロック,中心部地域,1
社会福祉法人,ひまわりこども園（保）,和歌山県和歌山市有本431,https://www.gaccom.jp/nurseryschool-18724.html,34.2510533,135.1982344,和歌山県和歌山市有本,四箇郷地区,第4ブロック,東部地域,5
社会福祉法人,片男波こども園（保）,和歌山県和歌山市和歌浦南2－11－8,https://www.gaccom.jp/nurseryschool-18725.html,34.1784419,135.1740161,和歌山県和歌山市和歌浦南1,和歌浦地区,第7ブロック,南部地域,7
社会福祉法人,つくし幼保園（保）,和歌山県和歌山市吉礼486－1,https://www.gaccom.jp/nurseryschool-85538.html,34.2018112,135.2405769,和歌山県和歌山市吉礼,西山東地区,第5ブロック,南東部地域,6
社会福祉法人,木ノ本こども園（保）,和歌山県和歌山市木ノ本300番の1,https://www.gaccom.jp/nurseryschool-91749.html,34.2583013,135.1263352,和歌山県和歌山市木ノ本,木本地区,第1ブロック,北西部地域,2
公益法人,和歌山認定こども園,和歌山県和歌山市中132番地3,https://www.gaccom.jp/nurseryschool-101262.html,34.26504329999999,135.1471116,和歌山県和歌山市中,貴志地区,第2ブロック,北部地域,3
その他の法人,いさお幼稚園（保）,和歌山県和歌山市園部1518－1,https://www.gaccom.jp/nurseryschool-86966.html,34.2659888,135.1989955,和歌山県和歌山市園部,有功地区,第3ブロック,北東部地域,4
その他の法人,和歌山ひかり幼稚園（保）,和歌山県和歌山市関戸1－2－31,https://www.gaccom.jp/nurseryschool-86967.html,34.2016254,135.1682939,和歌山県和歌山市関戸1,雑賀地区,第7ブロック,南部地域,7
その他の法人,三宝幼稚園（保）,和歌山県和歌山市楠本267－1,https://www.gaccom.jp/nurseryschool-86970.html,34.257243,135.2578127,和歌山県和歌山市楠本,川永地区,第3ブロック,北東部地域,4
その他の法人,みどり幼稚園（保）,和歌山県和歌山市東高松3－3－30,https://www.gaccom.jp/nurseryschool-91750.html,34.2055885,135.1722977,和歌山県和歌山市東高松1,高松地区,第8ブロック,中心部地域,1
その他の法人,愛徳幼稚園（保）,和歌山県和歌山市今福3丁目6番37号,https://www.gaccom.jp/nurseryschool-91751.html,34.2102136,135.1633512,和歌山県和歌山市今福1,今福地区,第8ブロック,中心部地域,1
その他の法人,名草幼稚園（保）,和歌山県和歌山市紀三井寺520,https://www.gaccom.jp/nurseryschool-91752.html,34.1754811,135.1894768,和歌山県和歌山市紀三井寺,名草地区,第7ブロック,南部地域,7
その他の法人,たから幼稚園（保）,和歌山県和歌山市塩屋2丁目1の15,https://www.gaccom.jp/nurseryschool-91753.html,34.2014373,135.1750769,和歌山県和歌山市塩屋1,高松地区,第8ブロック,中心部地域,1
その他の法人,まつえ幼稚園（保）,和歌山県和歌山市松江中3丁目1番35,https://www.gaccom.jp/nurseryschool-101263.html,34.2480292,135.1334095,和歌山県和歌山市松江中1,松江地区,第1ブロック,北西部地域,2
