習い事_教室名,習い事_住所,習い事_アクセス,習い事_対象学年,習い事_備考,習い事_URL,習い事_経度,習い事_緯度,習い事_ジャンル_バレエ,習い事_ジャンル_音楽教室,習い事_ジャンル_バスケットボール,習い事_ジャンル_書道・習字,習い事_ジャンル_スイミング・水泳,習い事_ジャンル_柔道,習い事_ジャンル_英語・英会話,習い事_ジャンル_ピアノ,習い事_ジャンル_ダンス,習い事_ジャンル_野球・ソフトボール,習い事_ジャンル_幼児教室,習い事_ジャンル_合気道,習い事_ジャンル_サッカー・フットサル,習い事_ジャンル_テニス,習い事_ジャンル_新体操,習い事_ジャンル_学習塾,習い事_ジャンル_運動・体操,習い事_ジャンル_剣道,習い事_ジャンル_絵画・造形,習い事_ジャンル_空手・拳法,習い事_ジャンル_ラグビー,地区_住所,地区_区分,地区_グループ,地区_ブロック,地区_コード
明光義塾和歌山市駅前教室,和歌山県和歌山市屏風丁1－1－1Ｆ,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032804,34.2362044,135.1674348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市屏風丁,城北地区,第9ブロック,中心部地域,1
学研 北秋月教室,和歌山県和歌山市秋月139-4,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123783,34.2326847,135.2043811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市秋月,宮地区,第6ブロック,中心部地域,1
ＤＳアカデミー,和歌山県和歌山市六十谷164,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032553,34.2594748,135.2032775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市六十谷,有功地区,第3ブロック,北東部地域,4
進学塾ＴＭ,和歌山県和歌山市西浜918－8,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032766,34.2023142,135.1567696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市西浜,雑賀地区,第7ブロック,南部地域,7
イーオンキッズ  和歌山ガーデンパーク校,和歌山県和歌山市松江,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123981,34.2385864,135.1284047,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市松江,貴志地区,第2ブロック,北部地域,3
武田塾和歌山校,和歌山県和歌山市友田町5丁目50,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032615,34.2324129,135.1897054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市友田町2,大新地区,第10ブロック,中心部地域,1
ＯＭＩセミナー,和歌山県和歌山市古屋77－10,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032779,34.2563655,135.1194012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市古屋,木本地区,第1ブロック,北西部地域,2
江川珠算塾,和歌山県和歌山市松江北4丁目6－9,,,,https://sp-sukusuku.jp/kyoushitsu/s18000056905,34.2530524,135.1329772,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市松江北1,松江地区,第1ブロック,北西部地域,2
榊原ピアノ教室,和歌山県和歌山市手平1丁目4－24,,,,https://sp-sukusuku.jp/kyoushitsu/s18000048844,34.2194686,135.1880777,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市手平,宮前地区,第6ブロック,中心部地域,1
進学教室　浜学園　和歌山教室,和歌山県和歌山市美園町5-7-8(パーク美園町ビル5F・6,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123682,34.2311151,135.1905101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市美園町2,大新地区,第10ブロック,中心部地域,1
井口英語ゼミ,和歌山県和歌山市吹上4丁目2－30,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032916,34.2162222,135.1721696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市吹上1,吹上地区,第8ブロック,中心部地域,1
ナビ個別指導学院 和歌山東校,和歌山県和歌山市園部1416　園部堀口テナントＡ北2階2Ｆ,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123940,34.2625821,135.1963041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市園部,有功地区,第3ブロック,北東部地域,4
ＫＥＧ／本部,和歌山県和歌山市友田町2丁目145,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032573,34.2319133,135.1854626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市友田町2,大新地区,第10ブロック,中心部地域,1
エンジェル保育園,和歌山県和歌山市新通5丁目17,,,,https://sp-sukusuku.jp/kyoushitsu/s18000053605,34.2319111,135.1797755,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市新通1,大新地区,第10ブロック,中心部地域,1
葛本そろばん教室,和歌山県和歌山市毛見295－31,,,,https://sp-sukusuku.jp/kyoushitsu/s18000056926,34.1676274,135.1960214,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市毛見,名草地区,第7ブロック,南部地域,7
嶌本塾,和歌山県和歌山市湊3138,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032739,34.2192272,135.1626012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市湊,雄湊地区,第9ブロック,中心部地域,1
ヤマハ音楽教室 名草幼稚園,和歌山県和歌山市紀三井寺520,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123895,34.1754811,135.1894768,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市紀三井寺,名草地区,第7ブロック,南部地域,7
暁星セミナー,和歌山県和歌山市太田130－1,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032698,34.22767839999999,135.1986544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市太田,宮地区,第6ブロック,中心部地域,1
公文式 日進中前教室・内原教室 ほか,和歌山県和歌山市秋月560-3・内原970-5・黒田,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123707,34.2273614,135.2042751,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市秋月,宮地区,第6ブロック,中心部地域,1
個別指導Ｗａｍ／宮前校,和歌山県和歌山市中島45－19,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032685,34.213636,135.1891202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市中島,宮前地区,第6ブロック,中心部地域,1
喜望ゼミナール個別指導パーソナルワン,和歌山県和歌山市吹屋町5丁目40－5,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032803,34.2253685,135.1903821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市吹屋町1,新南地区,第10ブロック,中心部地域,1
個別指導のスクールIE　西ノ庄校,和歌山県和歌山市西庄338-34レスペート西庄31F,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123729,34.2583675,135.1154347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市西庄,木本地区,第1ブロック,北西部地域,2
能開プレスクール和歌山校,和歌山県和歌山市太田391－1,,,,https://sp-sukusuku.jp/kyoushitsu/s18000027617,34.22933450000001,135.197424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市太田,宮地区,第6ブロック,中心部地域,1
砂山少年剣友会　立誠館道場,和歌山県和歌山市砂山南2丁目1-52砂山小学校体育館,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123694,34.2182324,135.1624805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,和歌山県和歌山市砂山南1,砂山地区,第8ブロック,中心部地域,1
ジストスポーツクラブ和歌山,和歌山県和歌山市中野30,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123972,34.2548743,135.1389349,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市中野,貴志地区,第2ブロック,北部地域,3
Ｐｉｃｋこども体育館,和歌山県和歌山市向144－15,,,,https://sp-sukusuku.jp/kyoushitsu/s18000051966,34.2581617,135.1446803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,和歌山県和歌山市向,貴志地区,第2ブロック,北部地域,3
河合サテライト松島校,和歌山県和歌山市松島120－17,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032605,34.2481778,135.2117489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市松島,四箇郷地区,第4ブロック,東部地域,5
個別指導Axis 紀ノ川北校,和歌山県和歌山市向153-1スクウェア延時ビル,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123743,34.2582393,135.1439508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市向,貴志地区,第2ブロック,北部地域,3
岩橋珠算教室,和歌山県和歌山市杭ノ瀬180－30,,,,https://sp-sukusuku.jp/kyoushitsu/s18000056900,34.21040130000001,135.1955584,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市杭ノ瀬,宮前地区,第6ブロック,中心部地域,1
個別指導Ｗａｍ／和歌山駅前校,和歌山県和歌山市美園町4丁目81,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032765,34.2307763,135.1892269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市美園町2,大新地区,第10ブロック,中心部地域,1
個別指導Axis 和歌浦校,和歌山県和歌山市和歌浦東1-2-36,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123733,34.1953594,135.1699382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市和歌浦東1,和歌浦地区,第7ブロック,南部地域,7
能開センター／個別指導Ａｘｉｓ／個別小松原校,和歌山県和歌山市吹上4丁目1－1,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032727,34.2169155,135.1697564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市吹上1,吹上地区,第8ブロック,中心部地域,1
学研 貴志南教室,和歌山県和歌山市中76-5,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123825,34.2585489,135.1418184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市中,貴志地区,第2ブロック,北部地域,3
第一ゼミナール／南海和歌山市駅校,和歌山県和歌山市東蔵前丁3－17－3Ｆ,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032582,34.2359097,135.1660455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市東蔵前丁,城北地区,第9ブロック,中心部地域,1
ファロス個別指導学院南海和歌山市駅教室,和歌山県和歌山市東蔵前丁3－17－3Ｆ,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032677,34.2359097,135.1660455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市東蔵前丁,城北地区,第9ブロック,中心部地域,1
ＮＥＸＴ大学受験予備校六十谷駅前校,和歌山県和歌山市六十谷346,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032742,34.2616717,135.2070209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市六十谷,有功地区,第3ブロック,北東部地域,4
京進スクール・ワン榎原教室,和歌山県和歌山市榎原80－1,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032773,34.25509040000001,135.1348138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市榎原,木本地区,第1ブロック,北西部地域,2
Ｎ’Ｓ進学ゼミ,和歌山県和歌山市布施屋6－4,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032548,34.2425302,135.2603128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市布施屋,和佐地区,第4ブロック,東部地域,5
公文式／吹上・砂山・片男波教室,和歌山県和歌山市堀止東1丁目2－21,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032561,34.2144393,135.171548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市堀止東1,吹上地区,第8ブロック,中心部地域,1
PETERSOXこども英語教室,和歌山県和歌山市福町28ハウスブルーネ103,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123987,34.2329235,135.1722975,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市福町,城北地区,第9ブロック,中心部地域,1
ナビ個別指導学院 和歌山西校,和歌山県和歌山市屋形町4-18-1F,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123941,34.22495019999999,135.1785047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市屋形町1,広瀬地区,第10ブロック,中心部地域,1
栗栖学習塾,和歌山県和歌山市岩橋729－6,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032870,34.2406094,135.2315696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市岩橋,西和佐地区,第4ブロック,東部地域,5
学習塾・進学塾　喜望ゼミナール,和歌山県和歌山市吹屋町5丁目2,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123769,34.2261813,135.1902668,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市吹屋町1,新南地区,第10ブロック,中心部地域,1
健心館　畠中道場,和歌山県和歌山市和歌浦西1丁目4-11,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123748,34.1963273,135.169434,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市和歌浦西1,和歌浦地区,第7ブロック,南部地域,7
和歌山ＹＭＣＡＹキッズアカデミー,和歌山県和歌山市太田1丁目12－13,,,,https://sp-sukusuku.jp/kyoushitsu/s18000053611,34.2315944,135.193656,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市太田,宮地区,第6ブロック,中心部地域,1
ベスト進学塾,和歌山県和歌山市六十谷1041－1,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032805,34.2623753,135.1992033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市六十谷,有功地区,第3ブロック,北東部地域,4
浜学園和歌山教室,和歌山県和歌山市美園町5丁目7－8,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032711,34.2311151,135.1905101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市美園町2,大新地区,第10ブロック,中心部地域,1
秀栄塾松島校,和歌山県和歌山市松島120－27,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032732,34.2473469,135.2114562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市松島,四箇郷地区,第4ブロック,東部地域,5
学伸塾,和歌山県和歌山市松ケ丘2丁目1－24,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032651,34.2024729,135.1654697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市松ケ丘1,雑賀地区,第7ブロック,南部地域,7
公文式／紀伊弘西教室,和歌山県和歌山市弘西809,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032600,34.2668872,135.2425221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市弘西,紀伊地区,第3ブロック,北東部地域,4
紀州錬武館葵道場,和歌山県和歌山市小松原6丁目6－33,,,,https://sp-sukusuku.jp/kyoushitsu/s18000001235,34.2169396,135.1665779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,和歌山県和歌山市小松原5,砂山地区,第8ブロック,中心部地域,1
EQWELチャイルドアカデミーMickey教室,和歌山県和歌山市宇田森109,,,,https://sp-sukusuku.jp/kyoushitsu/s18000124008,34.2603148,135.2474754,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市宇田森,紀伊地区,第3ブロック,北東部地域,4
トップウェルネス　和歌山,和歌山県和歌山市北出島1丁目5-48(国体道路),,,,https://sp-sukusuku.jp/kyoushitsu/s18000123951,34.2220018,135.1901996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市北出島,宮地区,第6ブロック,中心部地域,1
Ｄｒ関塾紀三井寺校,和歌山県和歌山市紀三井寺748－3,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032830,34.1860775,135.1867061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市紀三井寺,名草地区,第7ブロック,南部地域,7
ＧＥＳ／小松原校,和歌山県和歌山市小松原5丁目7－3,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032771,34.217287,135.1692811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市小松原5,砂山地区,第8ブロック,中心部地域,1
個別指導Ｗａｍ／川永校,和歌山県和歌山市島26－14,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032816,34.2619461,135.2534277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市島,川永地区,第3ブロック,北東部地域,4
ナビ個別指導学院 和歌山北校,和歌山県和歌山市榎原88-1センチュリーパレス泰苑1F,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123939,34.254254,135.1358939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市榎原,木本地区,第1ブロック,北西部地域,2
学習塾松江教室,和歌山県和歌山市榎原140－18,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032881,34.2541202,135.131888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市榎原,木本地区,第1ブロック,北西部地域,2
こたにピアノ教室,和歌山県和歌山市湊,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123974,34.217234,135.146495,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市湊,雄湊地区,第9ブロック,中心部地域,1
EQWELチャイルドアカデミー和歌山北教室,和歌山県和歌山市次郎丸98-4フタバビル3F,,,,https://sp-sukusuku.jp/kyoushitsu/s18000124003,34.2534972,135.1455585,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市次郎丸,貴志地区,第2ブロック,北部地域,3
能開センター／個別指導Ａｘｉｓ／個別神前校,和歌山県和歌山市神前146－1－1Ｆ,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032657,34.216723,135.2049974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市神前,岡崎地区,第5ブロック,南東部地域,6
賢伸ゼミナール,和歌山県和歌山市内原895－3－102,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032687,34.1711889,135.1934865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市内原,名草地区,第7ブロック,南部地域,7
α特進塾和歌山本部教室,和歌山県和歌山市相坂597－1,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032802,34.2006744,135.2259135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市相坂,西山東地区,第5ブロック,南東部地域,6
勝商塾千旦団地前教室,和歌山県和歌山市祢宜1589,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032546,34.243114,135.2448729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市祢宜,和佐地区,第4ブロック,東部地域,5
河合塾マナビス／和歌山駅前校,和歌山県和歌山市太田1丁目14－11,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032627,34.2317454,135.1927781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市太田,宮地区,第6ブロック,中心部地域,1
進学教室ネクスト／高積校,和歌山県和歌山市東田中17－3,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032800,34.2413914,135.2855656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市東田中,小倉地区,第4ブロック,東部地域,5
進学予備校学錬館,和歌山県和歌山市太田3丁目6－9,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032654,34.2311746,135.1969089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市太田,宮地区,第6ブロック,中心部地域,1
株式会社ＫＥＧキャリア・アカデミー,和歌山県和歌山市友田町2丁目145,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032796,34.2319133,135.1854626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市友田町2,大新地区,第10ブロック,中心部地域,1
EQWELチャイルドアカデミー紀三井寺教室,和歌山県和歌山市布引618-1,,,,https://sp-sukusuku.jp/kyoushitsu/s18000124005,34.1734058,135.1864196,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市布引,名草地区,第7ブロック,南部地域,7
ＥＣＯゼミナール,和歌山県和歌山市杭ノ瀬111－1,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032631,34.2134239,135.1917847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市杭ノ瀬,宮前地区,第6ブロック,中心部地域,1
和歌山YMCA,和歌山県和歌山市太田1丁目12-13,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123641,34.2315944,135.193656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,和歌山県和歌山市太田,宮地区,第6ブロック,中心部地域,1
能開センター／和歌山校／高校部,和歌山県和歌山市黒田1丁目4－16,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032858,34.2334225,135.1926427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市黒田,宮北地区,第6ブロック,中心部地域,1
教育センター和歌山,和歌山県和歌山市美園町5丁目12－2,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032834,34.2313604,135.191009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市美園町2,大新地区,第10ブロック,中心部地域,1
